C,R,G,B
0,229,229,229
10000,219,219,217
50000,213,214,209
100000,210,209,205
500000,204,205,199
1000000,201,200,195
5000000,197,196,195
10000000,198,189,193
50000000,183,160,183
100000000,171,146,175
